Keyword,Frequency
model,1033
bim,919
information,805
datum,724
building,600
management,428
system,425
base,419
study,331
design,297
city,280
technology,268
integration,260
construction,257
integrate,244
urban,234
build,233
application,230
analysis,229
paper,227
project,226
energy,225
develop,218
process,214
spatial,203
propose,196
method,190
ifc,179
different,176
development,171
digital,167
case,161
platform,158
indoor,158
provide,157
web,151
semantic,141
environment,136
present,135
standard,133
tool,130
infrastructure,130
work,127
also,124
support,124
need,120
object,119
level,119
space,116
planning,114
smart,111
aim,111
architectural,111
new,108
structure,104
citygml,103
visualization,102
include,101
software,98
area,98
time,95
order,95
simulation,94
require,94
architecture,93
framework,93
maintenance,92
however,91
exist,90
scale,88
gis,88
database,88
various,88
allow,87
increase,85
improve,85
apply,84
implementation,84
make,83
relate,83
data,83
field,82
heritage,81
well,80
challenge,79
problem,79
service,79
solution,78
network,78
potential,77
format,77
facility,76
create,76
focus,76
future,75
manage,75
representation,75
test,75
user,74
concept,74
requirement,72
complex,72
issue,71
implement,70
performance,70
feature,69
show,69
operation,68
efficient,68
methodology,68
engineering,68
survey,68
geometric,67
plan,67
map,66
high,66
many,66
bridge,65
site,64
class,64
represent,64
open,64
domain,63
enable,63
consider,62
purpose,61
historical,61
cultural_heritage,61
part,61
public,60
large,60
first,59
industry,59
generate,59
discuss,58
link,58
review,58
image,58
assessment,56
analyze,56
identify,56
asset,55
describe,55
way,55
mapping,54
virtual,54
combine,54
dynamic,53
element,53
district,53
strategy,53
road,52
land,52
type,51
phase,51
quality,51
utilize,50
technique,50
cost,50
multi,49
technical,49
modeling,49
main,49
due,49
knowledge,48
attribute,48
ontology,47
specific,47
graph,47
enhance,47
efficiency,47
important,46
change,46
become,46
establish,46
point_cloud,46
detail,46
sensor,46
geometry,46
investigate,46
point,46
convert,46
facilitate,46
geospatial,46
environmental,45
define,45
therefore,45
task,45
conversion,44
demonstrate,44
function,44
source,44
control,44
location,43
query,43
safety,43
paper_present,43
address,43
necessary,43
traffic,43
monitor,42
context,42
navigation,42
coordinate,42
condition,42
involve,41
component,41
permit,41
several,40
property,40
lead,40
perform,40
detailed,40
monitoring,40
sustainable,40
world,40
activity,40
compare,39
evaluation,39
set,39
conservation,39
resource,39
risk,38
achieve,38
documentation,38
effective,38
stage,38
obtain,37
landscape,37
modelling,37
introduce,37
value,37
relationship,37
conduct,37
limitation,37
key,36
explore,36
reference,36
evaluate,36
transformation,36
suggest,36
sector,36
possible,36
historic,35
visual,35
device,35
characteristic,35
scenario,35
internet,35
practice,35
physical,34
exchange,34
rule,34
geographical,34
impact,34
stakeholder,34
number,34
especially,34
share,34
advanced,34
dataset,34
algorithm,34
file,33
aspect,33
visualize,33
national,33
effort,33
reduce,33
extend,33
real,33
low,32
construct,32
year,32
state,32
multiple,32
view,32
collect,31
decision,31
demand,31
available,31
recently,31
give,31
lack,31
access,31
interaction,31
accurate,31
communication,31
form,31
addition,30
common,30
goal,30
railway,30
generation,30
transportation,30
geobim,30
help,30
geographic,30
offer,30
benefit,29
big,29
thus,29
limit,29
interest,29
end,29
produce,29
store,29
intelligent,29
recent,29
solve,29
particular,29
factor,28
possibility,28
utility,28
